family,operation_identity,operation_name,method,path,version,hierarchy_ids,scopes,plan_state,lifecycle_class,official_url,observed_on,evidence_state
Portals,portals-get_all_portals,Get All Portals,GET,/api/v3/portals,v3,none,ZohoProjects.portals.READ,TBD,not-lifecycle,https://projects.zoho.com/api-docs#portals-get_all_portals,2026-09-01,verified
Portals,portals-get_portal_details,Get Portal Details,GET,/api/v3/portal/[PORTALID],v3,[PORTALID],ZohoProjects.portals.READ,TBD,not-lifecycle,https://projects.zoho.com/api-docs#portals-get_portal_details,2026-09-01,verified
Portals,portals-data_backup-schedule_data_backup,Schedule Data Backup,POST,/api/v3/portal/[PORTALID]/portal_export,v3,[PORTALID],"ZohoProjects.portals.READ, ZohoFiles.files.READ",TBD,not-lifecycle,https://projects.zoho.com/api-docs#portals-data_backup-schedule_data_backup,2026-09-01,verified
Portals,portals-data_backup-get_data_backup_status,Get Data Backup Status,GET,/api/v3/portal/[PORTALID]/portal_export/[PORTAL_EXPORTID]/status,v3,[PORTALID]; [PORTAL_EXPORTID],"ZohoProjects.portals.READ, ZohoFiles.files.READ",TBD,not-lifecycle,https://projects.zoho.com/api-docs#portals-data_backup-get_data_backup_status,2026-09-01,verified
Portals,portals-data_backup-get_data_backup_history,Get Data Backup History,GET,/api/v3/portal/[PORTALID]/portal_export/history,v3,[PORTALID],"ZohoProjects.portals.READ, ZohoFiles.files.READ",TBD,not-lifecycle,https://projects.zoho.com/api-docs#portals-data_backup-get_data_backup_history,2026-09-01,verified
Portals,portals-trash-get_trashed_records,Get Trashed Records,GET,/api/v3/portal/[PORTALID]/bin,v3,[PORTALID],ZohoProjects.portals.READ,TBD,trash,https://projects.zoho.com/api-docs#portals-trash-get_trashed_records,2026-09-01,verified
Portals,portals-trash-move_records_to_trash,Move Records to Trash,POST,/api/v3/portal/[PORTALID]/trash,v3,[PORTALID],ZohoProjects.portals.CREATE,TBD,trash,https://projects.zoho.com/api-docs#portals-trash-move_records_to_trash,2026-09-01,verified
Portals,portals-trash-delete_records,Delete Records,DELETE,/api/v3/portal/[PORTALID]/bin,v3,[PORTALID],ZohoProjects.portals.CREATE,TBD,trash,https://projects.zoho.com/api-docs#portals-trash-delete_records,2026-09-01,verified
Portals,portals-trash-restore_records_from_trash,Restore Records from Trash,POST,/api/v3/portal/[PORTALID]/bin/restore,v3,[PORTALID],ZohoProjects.portals.CREATE,TBD,restore,https://projects.zoho.com/api-docs#portals-trash-restore_records_from_trash,2026-09-01,verified
Portals,portals-trash-empty_recyle_bin,Empty Recyle Bin,DELETE,/api/v3/portal/[PORTALID]/empty-bin,v3,[PORTALID],ZohoProjects.portals.CREATE,TBD,trash,https://projects.zoho.com/api-docs#portals-trash-empty_recyle_bin,2026-09-01,verified
